Atomic name / mass:
Id.   Name      Mass
0     H         1.01
1     C         12.01
Molecular name / composition / boundary condition:
Id.   Molecule    H    C    |   Top           Bottom
0     H           1    0    |   0   0.00E+00  0   0.00E+00
1     H2          2    0    |   0   0.00E+00  0   0.00E+00
2     C           0    1    |   0   0.00E+00  0   0.00E+00
3     CH          1    1    |   0   0.00E+00  0   0.00E+00
4     (1)CH2      2    1    |   0   0.00E+00  0   0.00E+00
5     (3)CH2      2    1    |   0   0.00E+00  0   0.00E+00
6     CH3         3    1    |   0   0.00E+00  0   0.00E+00
7     CH4         4    1    |   0   0.00E+00  0   0.00E+00
8     C2          0    2    |   0   0.00E+00  0   0.00E+00
9     C2H         1    2    |   0   0.00E+00  0   0.00E+00
10    C2H2        2    2    |   0   0.00E+00  0   0.00E+00
11    C2H3        3    2    |   0   0.00E+00  0   0.00E+00
12    C2H4        4    2    |   0   0.00E+00  0   0.00E+00
13    C2H5        5    2    |   0   0.00E+00  0   0.00E+00
14    C2H6        6    2    |   0   0.00E+00  0   0.00E+00
15    M           0    0    |   0   0.00E+00  0   0.00E+00
Reaction list / rate:
Id.   Type Reaction                    ko_A      ko_n   ko_E      koo_A     koo_n  koo_E     kr_A      kr_n   kr_E
46    2    C2H+C2H6=C2H2+C2H5          1.19E-12  0.5    180.0     0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
47    2    C2H+CH4=C2H2+CH3            1.20E-11  0.0    -491.0    0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
48    2    C2H+H2=C2H2+H               9.20E-18  2.2    -478.0    0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
49    2    C2H3+C2H5=2C2H4             8.00E-13  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
50    2    C2H3+C2H5=C2H6+C2H2         8.00E-13  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
51    2    C2H3+CH4=C2H4+CH3           2.40E-24  4.0    -2754.0   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
52    2    C2H3+H2=C2H4+H              1.57E-20  2.6    -2529.0   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
53    2    C2H5+C2H4=C2H6+C2H3         3.14E-21  3.1    -9063.0   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
54    2    C2H5+H2=C2H6+H              5.10E-24  3.6    -4253.0   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
55    2    CH+(3)CH2=C2H2+H            3.96E-08  -1.0   -36.1     0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
56    2    CH+CH3=C2H3+H               3.96E-08  -1.0   -36.1     0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
57    2    CH+CH4=C2H4+H               3.96E-08  -1.0   -36.1     0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
58    2    CH+H2=(3)CH2+H              3.75E-10  0.0    -1663.0   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
59    2    CH3+C2H3=CH4+C2H2           3.00E-11  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
60    2    CH3+C2H5=CH4+C2H4           2.00E-12  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
61    2    CH3+H2=CH4+H                6.60E-20  2.2    -3220.0   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
62    2    H+(1)CH2=CH+H2              3.00E-10  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
63    2    H+(3)CH2=CH+H2              2.66E-10  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
64    2    H+C2H2=C2H+H2               1.50E-13  1.3    -15400.0  0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
65    2    H+C2H3=C2H2+H2              1.50E-12  0.5    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
66    2    H+C2H4=C2H3+H2              8.41E-17  1.9    -6518.0   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
67    2    H+C2H5=2CH3                 1.25E-10  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
68    2    H+C2H5=C2H4+H2              3.00E-12  0.0    0.0       0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
69    2    H+C2H6=C2H5+H2              2.35E-15  1.5    -3725.0   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
70    2    H+CH4=CH3+H2                2.20E-20  3.0    -4045.0   0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
71    2    H+CH=C+H2                   1.30E-10  0.0    -80.0     0.00E+00  0.0    0.0       0.00E+00  0.0    0.0
72    3    2CH3+M=C2H6+M               1.12E-09  -0.5   -25.0     6.15E-18  -3.5   0.0       0.00E+00  0.0    0.0
73    3    2H+M=H2+M                   1.00E-11  0.0    0.0       2.70E-31  -0.6   0.0       0.00E+00  0.0    0.0
74    3    C+H2+M=(3)CH2+M             2.06E-11  0.0    -57.0     7.00E-32  0.0    0.0       0.00E+00  0.0    0.0
75    3    CH+H2+M=CH3+M               8.55E-11  0.1    0.0       9.00E-31  0.0    550.0     0.00E+00  0.0    0.0
76    3    H+(3)CH2+M=CH3+M            8.55E-12  0.1    0.0       9.00E-32  0.0    550.0     0.00E+00  0.0    0.0
77    3    H+C2H+M=C2H2+M              3.00E-10  0.0    0.0       1.26E-18  -3.1   -721.0    0.00E+00  0.0    0.0
78    3    H+C2H2+M=C2H3+M             1.40E-11  0.0    -1300.0   3.30E-30  0.0    -740.0    0.00E+00  0.0    0.0
79    3    H+C2H3+M=C2H4+M             1.80E-10  0.0    0.0       2.30E-24  -1.0   0.0       0.00E+00  0.0    0.0
80    3    H+C2H4+M=C2H5+M             6.60E-15  1.3    -650.0    1.30E-29  0.0    -380.0    0.00E+00  0.0    0.0
81    3    H+C2H5+M=C2H6+M             2.00E-10  0.0    0.0       4.00E-19  -3.0   -600.0    0.00E+00  0.0    0.0
82    3    H+CH3+M=CH4+M               1.92E-08  -0.5   -400.0    2.55E-23  -2.2   0.0       0.00E+00  0.0    0.0
STOP
